WIMS_SP_REF,BW_REF,From Date,To Date,First Season,Final Season
SO-G0003591,17000,01/05/1988,,1988,
SO-G0003604,17100,01/05/1988,30/09/2010,1988,2010
SO-G0006417,17100,01/05/2011,,2011,
SO-G0003607,17200,01/05/1988,,1988,
SO-G0003608,17300,01/05/1988,,1988,
SO-Y0004255,17400,01/05/1988,,1988,
SO-Y0004257,17500,01/05/1988,,1988,
SO-Y0004259,17600,01/05/1988,,1988,
SO-Y0004269,17700,01/05/1988,,1988,
SO-Y0004270,17800,01/05/1988,,1988,
SO-Y0004283,17900,01/05/1988,,1988,
SO-Y0004286,18000,01/05/1988,,1988,
SO-Y0004288,18100,01/05/1988,,1988,
SO-Y0004456,18200,01/05/1988,,1988,
SO-Y0004293,18300,01/05/1988,,1988,
SO-Y0004297,18350,01/05/2008,,2008,
SO-Y0004298,18400,01/05/1988,,1988,
SO-Y0004300,18500,01/05/1988,,1988,
SO-Y0004304,18600,01/05/1988,,1988,
SW-C2710000,18700,01/05/1988,,1988,
SW-52804344,18750,01/05/1990,,1990,
SW-52804350,18800,01/05/1988,,1988,
SW-52800124,18900,01/05/1988,,1988,
SW-C2621000,19000,01/05/1988,,1988,
SW-50374425,19020,01/05/2000,,2000,
SW-50024410,19030,01/05/1993,,1993,
SW-50024445,19060,01/05/1993,,1993,
SW-50024483,19100,01/05/1988,,1988,
SW-50024507,19150,01/05/1993,,1993,
SW-50024515,19160,01/05/2000,,2000,
SW-50024527,19170,01/05/2000,,2000,
SW-50024545,19190,01/05/2004,,2004,
SW-50024558,19200,01/05/1988,,1988,
SW-50024575,19350,01/05/1997,,1997,
SW-50950270,19400,01/05/1988,,1988,
SW-50950300,19450,01/05/1988,,1988,
SW-50904420,19600,01/05/1988,,1988,
SW-50034420,19700,01/05/1988,,1988,
SW-50034485,19800,01/05/1988,,1988,
SW-50034589,19900,01/05/1988,,1988,
SW-50034611,20000,01/05/1988,,1988,
SW-50034638,20100,01/05/1988,,1988,
SW-50034643,20200,01/05/1988,,1988,
SW-50034659,20300,01/05/1988,,1988,
SW-50034689,20400,01/05/1988,,1988,
SW-50044589,20500,01/05/1988,,1988,
SW-50600151,20600,01/05/1988,,1988,
SW-50604435,20700,01/05/1988,,1988,
SW-50044442,20800,01/05/1988,,1988,
SW-50044448,20900,01/05/1988,,1988,
SW-50704424,20970,01/05/2000,,2000,
SW-50704479,21000,01/05/1988,,1988,
SW-50704511,21100,01/05/1988,,1988,
SW-50054425,21200,01/05/1988,,1988,
SW-50054566,21300,01/05/1988,,1988,
SW-70114403,21400,01/05/1988,30/09/2016,1988,2016
SW-70114448,21500,01/05/1988,,1988,
SW-70214510,21600,01/05/1988,,1988,
SW-70214515,21700,01/05/1988,,1988,
SW-70314528,21800,01/05/1988,30/09/2015,1988,2015
SW-70314533,21800,01/05/2016,,2016,
SW-70314532,21900,01/05/1988,,1988,
SW-70414504,22000,01/05/1988,,1988,
SW-70414533,22100,01/05/1988,,1988,
SW-70514511,22200,01/05/1988,,1988,
SW-70510107,22300,01/05/1988,,1988,
SW-70510103,22400,01/05/1988,,1988,
SW-70514549,22500,01/05/1988,30/09/2015,1988,2015
SW-70514550,22500,01/05/2016,,2016,
SW-70514559,22600,01/05/1988,,1988,
SW-70514578,22700,01/05/1988,,1988,
SW-70614633,22800,01/05/1988,,1988,
SW-70610131,22900,01/05/1988,,1988,
SW-70614644,23000,01/05/1988,,1988,
SW-70614683,23100,01/05/1988,,1988,
SW-70614694,23200,01/05/1988,,1988,
SW-70614710,23300,01/05/1988,,1988,
SW-70614728,23400,01/05/1988,,1988,
SW-70614740,23501,01/05/2004,,2004,
SW-70614831,23600,01/05/1988,,1988,
SW-70614847,23700,01/05/1988,,1988,
SW-70614854,23800,01/05/1988,,1988,
SW-70614869,23900,01/05/1988,,1988,
SW-70614872,24000,01/05/1988,,1988,
SW-70614874,24100,01/05/1988,,1988,
SW-70614882,24200,01/05/1988,,1988,
SW-70614904,24300,01/05/1988,,1988,
SW-70614944,24500,01/05/1988,,1988,
SW-70614997,24600,01/05/1988,,1988,
SW-70710124,24700,01/05/1988,,1988,
SW-70814625,24800,01/05/1988,,1988,
SW-70814659,24900,01/05/1988,,1988,
SW-70814679,25000,01/05/1988,,1988,
SW-70811731,25100,01/05/1988,,1988,
SW-70811724,25200,01/05/1988,,1988,
SW-70811736,25300,01/05/1988,,1988,
SW-70814894,25400,01/05/1988,,1988,
SW-70814905,25500,01/05/1988,,1988,
SW-70814915,25600,01/05/1988,,1988,
SW-70816005,25700,01/05/1988,,1988,
SW-70814963,25800,01/05/1988,,1988,
SW-70814974,25900,01/05/1988,,1988,
SW-70814980,26000,01/05/1988,,1988,
